Song,Band,Number of Times Listened
"Beethoven: Piano Sonata No.8 In C Minor, Op.13 -""Pathétique"" - 2. Adagio cantabile",Daniel Barenboim & Ludwig van Beethoven,7
My Immortal,Evanescence,7
Fix You,David Garrett,7
No More,Disturbed,7
Father of All...,Green Day,7
"Chopin: Waltz No.6 in D Flat, Op.64 No.1 -""Minute""",Vladimir Ashkenazy & Frédéric Chopin,7
Like I'm Gonna Lose You,Nicholas Yee,7
Moon River,2Cellos,7
Safe & Sound,William Joseph,7
"Nocturnes, Op. 9: No. 2 in E-Flat Major. Andante",Arthur Rubinstein & Frédéric Chopin,7
Push The Limits,Enigma,7
Drown,Bring Me The Horizon,6
Studying Music,Focus Study Music Academy,6
Leviathan,Volbeat,6
A Little Bit Off,Five Finger Death Punch,6
Musical Chairs,Fair To Midland,6
Thirty and Seven,August Burns Red,6
World On Fire,Slash,6
Loser,Beartooth,6
Delusion,Currents,6
Apnea,Currents,6
Blow,Theory Of A Deadman,6
Come Alive,"Hugh Jackman, Keala Settle, Daniel Everidge, Zendaya & The Greatest Showman Ensemble",6
Miserable,Lit,6
YYZ,Rush,6
The Spirit Of Radio,Rush,6
Guns,311,6
Headstrong,Trapt,6
What a Good Boy,Barenaked Ladies,6
Escape from Gravity,Deuter,6
"Chopin: 24 Préludes, Op.28 - 13. In F Sharp Major",Rafal Blechacz & Frédéric Chopin,6
Are You Ready,Disturbed,6
A Flag to Wave,Currents,6
Let Me Leave,Currents,6
Killing In The Name,Rage Against The Machine,6
Drive,Incubus,6
Relaxing Music For Reading,"Einstein Study Music Academy, Concentration Studying Music Academy & Studying Music",6
Wake Me Up When September Ends,Green Day,6
What The?!,311,6
The Narrative,August Burns Red,6
"New Person, Same Old Mistakes",Tame Impala,6
The Diary of Jane,Breaking Benjamin,6
Red Summer,Thornhill,6
Nurture,Thornhill,6
Far Away,Nickelback,6
Love Story,Taylor Swift,6
No Apologies,Sugar Red Drive,6
Dead Bite,Hollywood Undead,6
Dragula,Rob Zombie,6
Every Time You Leave,I Prevail,6
Amphetamines,Eve 6,6
Transistor,311,6
The Crow & The Butterfly,Shinedown,6
"Have Cool, Will Travel",Megadeth,6
A Tout Le Monde,Megadeth,6
Amnesia,Red Sun Rising,6
Banditos,The Refreshments,6
Man In The Box,Alice In Chains,6
Disobey,Crystal Lake,6
Fuel,Metallica,6
Symphony Of Destruction,Megadeth,6
Tyrant,Disturbed,6
The Great Divide,311,6
Make It Rough,311,6
State of My Head,Shinedown,6
Breaking the Mirror,Fit For A King,6
The Price of Agony,Fit For A King,6
Pissed Off,Fit For A King,6
Boom Shanka,311,6
Sand Dollars,311,6
Richter: Vladimir's Blues,Max Richter,6
Brand New Funk,DJ Jazzy Jeff & The Fresh Prince,6
Devour,Shinedown,6
Satie: 3 Gymnopédies - No. 1 in D Major: Lent et douloureux,Pascal Rogé,6
Swan Lake - Scene,Various artists & Pyotr Ilyich Tchaikovsky,6
Safari Song,Greta Van Fleet,6
Last Day Under The Sun,Volbeat,6
Beauty and the Beast,Taylor Davis,6
Ain't No Sunshine,Nicholas Yee,6
Rain,Simply Three,6
